symbol,name,sector,industry,market_cap_b
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,26.14
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25.98
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,25.54
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,25.49
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,25.41
SYF,Synchrony Financial,Financial Services,Credit Services,25.33
EQR,Equity Residential,Real Estate,REIT - Residential,25.19
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,24.96
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,24.84
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,24.78
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,24.67
FICO,Fair Isaac Corporation,Technology,Software - Application,24.46
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,24.35
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,24.25
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,24.21
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,24.19
FOX,Fox Corporation,Communication Services,Entertainment,24.09
BG,Bunge Global SA,Consumer Defensive,Farm Products,24.06
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,23.94
RF,Regions Financial Corporation,Financial Services,Banks - Regional,23.77
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,23.65
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,23.57
KEY,KeyCorp,Financial Services,Banks - Regional,23.53
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,23.38
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,23.33
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,23.04
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,23.02
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,22.93
ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,22.79
FSLR,"First Solar, Inc.",Technology,Solar,22.78
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,22.65
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,22.56
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,22.46
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,22.23
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,22.14
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,22.11
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,22.06
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,22.02
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,21.99
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,21.96
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,21.88
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,21.7
VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,21.51
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,21.43
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,21.18
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,21.16
STE,STERIS plc,Healthcare,Medical Devices,21.01
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,21.01
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,20.97
EFX,Equifax Inc.,Industrials,Consulting Services,20.94
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,20.67
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,20.31
GPN,Global Payments Inc.,Industrials,Specialty Business Services,19.98
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,19.66
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,19.59
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,19.59
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,19.57
INCY,Incyte Corporation,Healthcare,Biotechnology,19.41
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,19.08
LUV,Southwest Airlines Co.,Industrials,Airlines,19.0
HPQ,HP Inc.,Technology,Computer Hardware,18.95
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,18.86
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,18.85
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,18.77
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,18.76
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,18.69
FFIV,"F5, Inc.",Technology,Software - Infrastructure,18.56
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,18.44
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,18.43
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,18.4
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,18.33
LII,Lennox International Inc.,Industrials,Building Products & Equipment,18.31
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18.28
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,17.89
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,17.82
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,17.77
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,17.54
CDW,CDW Corporation,Technology,Information Technology Services,17.52
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,17.29
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,17.2
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,17.17
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,16.95
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,16.81
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,16.76
NWS,News Corporation,Communication Services,Entertainment,16.62
PTC,PTC Inc.,Technology,Software - Application,16.4
TXT,Textron Inc.,Industrials,Aerospace & Defense,16.38
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16.13
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,16.04
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,15.9
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,15.88
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,15.71
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15.69
LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,15.58
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,15.52
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15.41
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,15.38
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,15.24
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,15.15
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,15.03
REG,Regency Centers Corporation,Real Estate,REIT - Retail,14.71
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,14.56
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,14.53
NWSA,News Corporation,Communication Services,Entertainment,14.38
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,14.26
APA,APA Corporation,Energy,Oil & Gas E&P,14.22
MAS,Masco Corporation,Industrials,Building Products & Equipment,14.2
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,14.17
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,14.15
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,14.14
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,14.04
TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,13.95
UDR,"UDR, Inc.",Real Estate,REIT - Residential,13.51
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,13.41
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,13.34
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,12.73
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12.58
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,12.41
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,12.39
PSKY,Paramount Skydance Corporation,Communication Services,Entertainment,12.36
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,12.31
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,12.16
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,12.1
PODD,Insulet Corporation,Healthcare,Medical Devices,11.99
GL,Globe Life Inc.,Financial Services,Insurance - Life,11.9
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,11.86
SOLV,Solventum Corporation,Healthcare,Medical Instruments & Supplies,11.67
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,11.63
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,11.61
BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,11.58
IVZ,Invesco Ltd.,Financial Services,Asset Management,11.52
ALLE,Allegion plc,Industrials,Security & Protection Services,11.51
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,11.51
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,11.42
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,11.35
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,11.28
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,11.13
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,11.12
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,11.03
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,10.92
BXP,"BXP, Inc.",Real Estate,REIT - Office,10.46
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,10.43
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,10.37
CPT,Camden Property Trust,Real Estate,REIT - Residential,10.36
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,10.28
AES,The AES Corporation,Utilities,Utilities - Diversified,10.18
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,10.13
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,10.0
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,9.98
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,9.92
IT,"Gartner, Inc.",Technology,Information Technology Services,9.9
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,9.71
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,8.78
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8.55
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8.42
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,8.26
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,8.22
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,8.18
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,8.15
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,7.77
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,7.75
POOL,Pool Corporation,Industrials,Industrial Distribution,7.51
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,7.3
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,7.07
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,6.68
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,6.14
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,5.88
