symbol,name,sector,industry,market_cap_b
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,94.88
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,94.73
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,93.55
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,93.43
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,93.02
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,92.47
WM,"Waste Management, Inc.",Industrials,Waste Management,91.3
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,91.29
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,90.81
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,88.81
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,88.42
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,88.14
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,87.28
USB,U.S. Bancorp,Financial Services,Banks - Regional,86.71
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,85.48
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,84.48
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,84.31
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,84.22
AMT,American Tower Corporation,Real Estate,REIT - Specialty,83.88
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,83.65
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,83.64
CSX,CSX Corporation,Industrials,Railroads,83.24
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,81.38
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,81.17
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,80.75
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,80.7
MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,80.52
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,80.09
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,78.57
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,77.88
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,77.75
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,77.51
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,76.7
CIEN,Ciena Corporation,Technology,Communication Equipment,75.98
CRH,CRH plc,Basic Materials,Building Materials,75.89
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,75.73
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,75.52
MMM,3M Company,Industrials,Conglomerates,74.97
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,74.9
CI,The Cigna Group,Healthcare,Healthcare Plans,74.49
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,74.33
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,74.1
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,73.63
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,73.49
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,73.49
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,73.33
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,73.12
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,72.82
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,72.81
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,72.61
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,71.82
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,71.49
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,70.85
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,70.58
NSC,Norfolk Southern Corporation,Industrials,Railroads,70.46
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,70.33
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,69.13
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,68.9
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,68.82
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,68.69
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,68.53
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,67.49
CTAS,Cintas Corporation,Industrials,Specialty Business Services,67.09
AON,Aon plc,Financial Services,Insurance Brokers,66.26
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,66.23
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,66.15
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,65.67
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,65.37
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,64.49
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,64.34
RSG,"Republic Services, Inc.",Industrials,Waste Management,63.74
MSTR,Strategy Inc,Technology,Software - Application,63.14
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,62.97
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,62.34
SRE,Sempra,Utilities,Utilities - Diversified,61.63
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,60.8
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,60.3
TEL,TE Connectivity plc,Technology,Electronic Components,60.3
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,59.41
O,Realty Income Corporation,Real Estate,REIT - Retail,59.16
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,59.08
COR,"Cencora, Inc.",Healthcare,Medical Distribution,59.07
TGT,Target Corporation,Consumer Defensive,Discount Stores,58.81
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,58.78
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,58.34
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,58.33
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57.31
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,56.12
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,55.61
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,55.35
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,55.16
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,54.58
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,54.34
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,54.08
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,53.95
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,53.86
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,53.77
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,53.05
PSA,Public Storage,Real Estate,REIT - Industrial,52.71
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,52.68
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,52.5
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,51.96
FAST,Fastenal Company,Industrials,Industrial Distribution,51.44
MET,"MetLife, Inc.",Financial Services,Insurance - Life,51.32
ADSK,"Autodesk, Inc.",Technology,Software - Application,51.28
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,51.13
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,50.9
NUE,Nucor Corporation,Basic Materials,Steel,50.8
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,50.58
DDOG,"Datadog, Inc.",Technology,Software - Application,49.68
FER,Ferrovial N.V.,Industrials,Engineering & Construction,49.22
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,48.81
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,48.49
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,48.09
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,47.22
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,47.01
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,46.34
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,46.25
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,45.94
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,45.88
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,45.69
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,45.03
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,45.02
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,44.97
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,43.38
XYZ,"Block, Inc.",Technology,Software - Infrastructure,43.32
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,43.06
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,42.88
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,42.86
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,42.47
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,42.37
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,42.29
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,41.78
